,la,esperanto
ĉagreno,ĉar,esperanto
ĉar,enrigardante,esperanto
enrigardante,la,esperanto
la,avidaj,esperanto
avidaj,okuloj,esperanto
okuloj,vidis—nur,esperanto
vidis—nur,blankan,esperanto
blankan,malplenon,esperanto
malplenon,ŝi,esperanto
ŝi,ne,esperanto
ne,volis,esperanto
volis,lasi,esperanto
lasi,fali,esperanto
fali,la,esperanto
la,fajencaĵon,esperanto
fajencaĵon,pro,esperanto
pro,la,esperanto
la,timo,esperanto
timo,mortigi,esperanto
mortigi,per,esperanto
per,ĝi,esperanto
ĝi,iun,esperanto
iun,subulon,esperanto
subulon,sed,esperanto
sed,sukcesis,esperanto
sukcesis,post,esperanto
post,kelkaj,esperanto
kelkaj,momentoj,esperanto
momentoj,remeti,esperanto
remeti,ĝin,esperanto
ĝin,preterpasante,esperanto
preterpasante,en,esperanto
en,ŝrankon,esperanto
ŝrankon,ilustraĵo,esperanto
ilustraĵo,de,esperanto
de,unu,esperanto
unu,el,esperanto
el,la,esperanto
la,bretoj,esperanto
bretoj,alicio,esperanto
alicio,falante,esperanto
falante,tra,esperanto
tra,la,esperanto
la,ŝakto,esperanto
ŝakto,deprenis,esperanto
deprenis,marmeladujon,esperanto
marmeladujon,nu,esperanto
nu,pensis,esperanto
pensis,alicio,esperanto
alicio,kiam,esperanto
kiam,mi,esperanto
mi,rakontos,esperanto
rakontos,en,esperanto
en,la,esperanto
la,hejmo,esperanto
hejmo,pri,esperanto
pri,ĉi,esperanto
ĉi,tiu,esperanto
tiu,falego,esperanto
falego,ĉiuj,esperanto
ĉiuj,admiros,esperanto
admiros,mian,esperanto
mian,maltimon,esperanto
maltimon,kaj,esperanto
kaj,estonte,esperanto
estonte,eĉ,esperanto
eĉ,pri,esperanto
pri,falo,esperanto
falo,de,esperanto
de,l,esperanto
l,supro,esperanto
supro,ĝis,esperanto
ĝis,malsupro,esperanto
malsupro,de,esperanto
de,l,esperanto
l,ŝtuparo,esperanto
ŝtuparo,mi,esperanto
mi,nezorge,esperanto
nezorge,ridos,esperanto
ridos,kaj,esperanto
kaj,se,esperanto
se,mi,esperanto
mi,falos,esperanto
falos,eĉ,esperanto
eĉ,de,esperanto
de,la,esperanto
la,tegmento,esperanto
tegmento,mi,esperanto
mi,kredeble,esperanto
kredeble,ne,esperanto
ne,multe,esperanto
multe,priparolos,esperanto
priparolos,la,esperanto
la,falon,esperanto
falon,tion,esperanto
tion,oni,esperanto
oni,povas,esperanto
povas,kredi,esperanto
kredi,malsupren,esperanto
malsupren,ankoraŭ,esperanto
ankoraŭ,malsupren,esperanto
malsupren,ĉu,esperanto
ĉu,neniam,esperanto
neniam,la,esperanto
la,falo,esperanto
falo,finiĝos,esperanto
finiĝos,mi,esperanto
mi,volus,esperanto
volus,scii,esperanto
scii,diris,esperanto
diris,ŝi,esperanto
ŝi,laŭte,esperanto
laŭte,kiom,esperanto
kiom,da,esperanto
da,kilometroj,esperanto
kilometroj,mi,esperanto
mi,jam,esperanto
jam,falis,esperanto
falis,mi,esperanto
mi,nepre,esperanto
nepre,alproksimiĝas,esperanto
alproksimiĝas,la,esperanto
la,tercentron,esperanto
tercentron,tio,esperanto
tio,estus,esperanto
estus,laŭ,esperanto
laŭ,mi,esperanto
mi,preskaŭ,esperanto
preskaŭ,ses,esperanto
ses,kaj,esperanto
kaj,duono,esperanto
duono,miloj,esperanto
miloj,da,esperanto
da,kilometroj,esperanto
kilometroj,alicio,esperanto
alicio,jam,esperanto
jam,antaŭe,esperanto
antaŭe,lernis,esperanto
lernis,en,esperanto
en,la,esperanto
la,lernĉambro,esperanto
lernĉambro,kelkajn,esperanto
kelkajn,tiuspecajn,esperanto
tiuspecajn,faktojn,esperanto
faktojn,kaj,esperanto
kaj,kvankam,esperanto
kvankam,la,esperanto
la,nuna,esperanto
nuna,tempo,esperanto
tempo,ne,esperanto
ne,estis—pro,esperanto
estis—pro,manko,esperanto
manko,da,esperanto
da,aŭskultantoj—oportuna,esperanto
aŭskultantoj—oportuna,por,esperanto
por,elmontri,esperanto
elmontri,sian,esperanto
sian,klerecon,esperanto
klerecon,tamen,esperanto
tamen,estis,esperanto
estis,por,esperanto
por,ŝi,esperanto
ŝi,bona,esperanto
bona,praktiko,esperanto
praktiko,tradiri,esperanto
tradiri,la,esperanto
la,faktojn,esperanto
faktojn,jes,esperanto
jes,tio,esperanto
tio,estas,esperanto
estas,certe,esperanto
certe,la,esperanto
la,ĝusta,esperanto
ĝusta,interspaco,esperanto
interspaco,sed,esperanto
sed,en,esperanto
en,kian,esperanto
kian,latitudon,esperanto
latitudon,aŭ,esperanto
aŭ,longitudon,esperanto
longitudon,mi,esperanto
mi,penetris,esperanto
penetris,pri,esperanto
pri,kio,esperanto
kio,estas,esperanto
estas,latitudo,esperanto
latitudo,kaj,esperanto
kaj,longitudo,esperanto
longitudo,alicio,esperanto
alicio,havis,esperanto
havis,nenian,esperanto
nenian,ideon,esperanto
ideon,sed,esperanto
sed,nur,esperanto
nur,elparoli,esperanto
elparoli,tiajn,esperanto
tiajn,belege,esperanto
belege,majestajn,esperanto
majestajn,vortojn,esperanto
vortojn,kvazaŭ,esperanto
kvazaŭ,donis,esperanto
donis,al,esperanto
al,ŝi,esperanto
ŝi,agrablajn,esperanto
agrablajn,sentojn,esperanto
sentojn,post,esperanto
post,ne,esperanto
ne,longe,esperanto
longe,ŝi,esperanto
ŝi,rekomencis—eble,esperanto
rekomencis—eble,mi,esperanto
mi,trafalos,esperanto
trafalos,tra,esperanto
tra,la,esperanto
la,tuta,esperanto
tuta,terglobo,esperanto
terglobo,kaj,esperanto
kaj,estos,esperanto
estos,tre,esperanto
tre,tre,esperanto
tre,strange,esperanto
strange,elfali,esperanto
elfali,inter,esperanto
inter,la,esperanto
la,homoj,esperanto
homoj,kiuj,esperanto
kiuj,marŝas,esperanto
marŝas,kapmalsupre,esperanto
kapmalsupre,mi,esperanto
mi,kredas,esperanto
kredas,ke,esperanto
ke,oni,esperanto
oni,nomas,esperanto
nomas,ilin,esperanto
ilin,la,esperanto
la,antipatioj,esperanto
antipatioj,ĉe,esperanto
ĉe,eksono,esperanto
eksono,de,esperanto
de,tiu,esperanto
tiu,strangaĵo,esperanto
strangaĵo,ŝi,esperanto
ŝi,certe,esperanto
certe,ne,esperanto
ne,sopiris,esperanto
sopiris,aŭskultantojn,esperanto
aŭskultantojn,mi,esperanto
mi,ja,esperanto
ja,devos,esperanto
devos,demandi,esperanto
demandi,al,esperanto
al,ili,esperanto
ili,en,esperanto
en,kiun,esperanto
kiun,landon,esperanto
landon,mi,esperanto
mi,enfalis,esperanto
enfalis,dirante,esperanto
dirante,bonvolu,esperanto
bonvolu,sinjorino,esperanto
sinjorino,diri,esperanto
diri,al,esperanto
al,mi,esperanto
mi,ĉu,esperanto
ĉu,tiu,esperanto
tiu,ĉi,esperanto
ĉi,lando,esperanto
lando,estas,esperanto
estas,novzelando,esperanto
novzelando,aŭ,esperanto
aŭ,aŭstralio,esperanto
aŭstralio,ŝi,esperanto
ŝi,penis,esperanto
penis,klinsaluti,esperanto
klinsaluti,imagu,esperanto
imagu,al,esperanto
al,vi,esperanto
vi,karaj,esperanto
karaj,legantoj,esperanto
legantoj,kiel,esperanto
kiel,oni,esperanto
oni,povus,esperanto
povus,klinsaluti,esperanto
klinsaluti,falante,esperanto
falante,tra,esperanto
tra,l,esperanto
l,aero,esperanto
aero,ĉu,esperanto
ĉu,vi,esperanto
vi,povus,esperanto
povus,tion,esperanto
tion,fari,esperanto
fari,sed,esperanto
sed,ŝi,esperanto
ŝi,nepre,esperanto
nepre,nomus,esperanto
nomus,min,esperanto
min,malklera,esperanto
malklera,bubino,esperanto
bubino,do,esperanto
do,nur,esperanto
nur,malutilus,esperanto
malutilus,demandi,esperanto
demandi,tion,esperanto
tion,pli,esperanto
pli,bone,esperanto
bone,estus,esperanto
estus,serĉi,esperanto
serĉi,la,esperanto
la,nomon,esperanto
nomon,ie,esperanto
ie,sur,esperanto
sur,la,esperanto
la,muroj,esperanto
muroj,surskribitan,esperanto
surskribitan,malsupren,esperanto
malsupren,ankoraŭ,esperanto
ankoraŭ,malsupren,esperanto
malsupren,krom,esperanto
krom,babili,esperanto
babili,ja,esperanto
ja,estis,esperanto
estis,nenio,esperanto
nenio,por,esperanto
por,fari,esperanto
fari,sekve,esperanto
sekve,alicio,esperanto
alicio,baldaŭ,esperanto
baldaŭ,denove,esperanto
denove,ekparolis,esperanto
ekparolis,hodiaŭ,esperanto
hodiaŭ,vespere,esperanto
vespere,dajna,esperanto
dajna,tre,esperanto
tre,sopiros,esperanto
sopiros,min,esperanto
min,dajna,esperanto
dajna,estas,esperanto
estas,ŝia,esperanto
ŝia,kato,esperanto
kato,mi,esperanto
mi,esperas,esperanto
esperas,ke,esperanto
ke,ĉe,esperanto
ĉe,la,esperanto
la,temanĝo,esperanto
temanĝo,oni,esperanto
oni,ne,esperanto
ne,forgesos,esperanto
forgesos,ŝian,esperanto
ŝian,subtason,esperanto
subtason,da,esperanto
da,lakto,esperanto
lakto,dajna,esperanto
dajna,vi,esperanto
vi,karul,esperanto
karul,ho,esperanto
ho,se,esperanto
se,vi,esperanto
vi,nur,esperanto
nur,estus,esperanto
estus,tie,esperanto
tie,ĉi,esperanto
ĉi,kun,esperanto
kun,mi,esperanto
mi,ne,esperanto
ne,estas,esperanto
estas,musoj,esperanto
musoj,en,esperanto
en,la,esperanto
la,aero,esperanto
aero,sed,esperanto
sed,vesperton,esperanto
vesperton,vi,esperanto
vi,eble,esperanto
eble,povus,esperanto
povus,kapti,esperanto
kapti,kaj,esperanto
kaj,vesperto,esperanto
vesperto,ja,esperanto
ja,tre,esperanto
tre,similas,esperanto
similas,al,esperanto
al,muso,esperanto
muso,sed,esperanto
sed,ĉu,esperanto
ĉu,katoj,esperanto
katoj,manĝas,esperanto
manĝas,vespertojn,esperanto
vespertojn,alicio,esperanto
alicio,okaze,esperanto
okaze,nun,esperanto
nun,fariĝis,esperanto
fariĝis,dormema,esperanto
dormema,kaj,esperanto
kaj,dorme,esperanto
dorme,ripetadis—ĉu,esperanto
ripetadis—ĉu,katoj,esperanto
katoj,manĝas,esperanto
manĝas,vespertojn,esperanto
vespertojn,ĉu,esperanto
ĉu,katoj,esperanto
katoj,manĝas,esperanto
manĝas,vespertojn,esperanto
vespertojn,kaj,esperanto
kaj,iafoje,esperanto
iafoje,ŝi,esperanto
ŝi,ĉuis,esperanto
ĉuis,anstataŭe,esperanto
anstataŭe,ĉu,esperanto
ĉu,katojn,esperanto
katojn,manĝas,esperanto
manĝas,vespertoj,esperanto
vespertoj,ĉar,esperanto
ĉar,ŝi,esperanto
ŝi,kapablis,esperanto
kapablis,respondi,esperanto
respondi,nek,esperanto
nek,unu,esperanto
unu,nek,esperanto
nek,alian,esperanto
alian,el,esperanto
el,la,esperanto
la,du,esperanto
du,demandoj,esperanto
demandoj,ne,esperanto
ne,tre,esperanto
tre,grave,esperanto
grave,estis,esperanto
estis,kiun,esperanto
kiun,ĉuon,esperanto
ĉuon,ŝi,esperanto
ŝi,esprimis,esperanto
esprimis,ŝi,esperanto
ŝi,sentis,esperanto
sentis,sin,esperanto
sin,ekdormanta,esperanto
ekdormanta,kaj,esperanto
kaj,ĵus,esperanto
ĵus,komencis,esperanto
komencis,sonĝi,esperanto
sonĝi,ke,esperanto
ke,ŝi,esperanto
ŝi,marŝas,esperanto
marŝas,mano,esperanto
mano,en,esperanto
en,mano,esperanto
mano,kun,esperanto
kun,dajna,esperanto
dajna,kaj,esperanto
kaj,diras,esperanto
diras,al,esperanto
al,ŝi,esperanto
ŝi,tre,esperanto
tre,solene—dajna,esperanto
solene—dajna,vi,esperanto
vi,diru,esperanto
diru,al,esperanto
al,mi,esperanto
mi,la,esperanto
la,veron,esperanto
veron,ĉu,esperanto
ĉu,iam,esperanto
iam,vi,esperanto
vi,manĝis,esperanto
manĝis,vesperton,esperanto
vesperton,kiam,esperanto
kiam,ho,esperanto
ho,la,esperanto
la,surprizego,esperanto
surprizego,subite,esperanto
subite,ŝi,esperanto
ŝi,falis,esperanto
falis,plomp,esperanto
plomp,sur,esperanto
sur,amason,esperanto
amason,da,esperanto
da,sekaj,esperanto
sekaj,folioj,esperanto
folioj,la,esperanto
la,falego,esperanto
falego,efektive,esperanto
efektive,finiĝis,esperanto
finiĝis,pro,esperanto
pro,la,esperanto
la,folioj,esperanto
folioj,ŝi,esperanto
ŝi,ricevis,esperanto
ricevis,nenian,esperanto
nenian,vundon,esperanto
vundon,do,esperanto
do,stariginte,esperanto
stariginte,sin,esperanto
sin,sur,esperanto
sur,la,esperanto
la,piedojn,esperanto
piedojn,ŝi,esperanto
ŝi,rigardis,esperanto
rigardis,supren,esperanto
supren,super,esperanto
super,la,esperanto
la,kapo,esperanto
kapo,ĉio,esperanto
ĉio,estis,esperanto
estis,malluma,esperanto
malluma,sed,esperanto
sed,rekte,esperanto
rekte,antaŭ,esperanto
antaŭ,ŝi,esperanto
ŝi,vidiĝis,esperanto
vidiĝis,longa,esperanto
longa,koridoro,esperanto
koridoro,kaj,esperanto
kaj,jen,esperanto
jen,forkuras,esperanto
forkuras,tra,esperanto
tra,ĝi,esperanto
ĝi,la,esperanto
la,blanka,esperanto
blanka,kuniklo,esperanto
kuniklo,ne,esperanto
ne,perdinte,esperanto
perdinte,eĉ,esperanto
eĉ,unu,esperanto
unu,momenton,esperanto
momenton,alicio,esperanto
alicio,rapide,esperanto
rapide,postsekvis,esperanto
postsekvis,kaj,esperanto
kaj,aŭdis,esperanto
aŭdis,ke,esperanto
ke,ĝi,esperanto
ĝi,diras,esperanto
diras,malaperante,esperanto
malaperante,post,esperanto
post,murangulo,esperanto
murangulo,se,esperanto
se,mi,esperanto
mi,malfruos,esperanto
malfruos,ĉielo,esperanto
ĉielo,savu,esperanto
savu,miajn,esperanto
miajn,orelojn,esperanto
orelojn,en,esperanto
en,tiu,esperanto
tiu,momento,esperanto
momento,ŝi,esperanto
ŝi,estis,esperanto
estis,preskaŭ,esperanto
preskaŭ,apuda,esperanto
apuda,tamen,esperanto
tamen,kiam,esperanto
kiam,ŝi,esperanto
ŝi,preterpasis,esperanto
preterpasis,la,esperanto
la,angulon,esperanto
angulon,la,esperanto
la,kuniklo,esperanto
kuniklo,jam,esperanto
jam,malaperis,esperanto
malaperis,kaj,esperanto
kaj,ŝi,esperanto
ŝi,trovis,esperanto
trovis,sin,esperanto
sin,sola,esperanto
sola,en,esperanto
en,ia,esperanto
ia,longa,esperanto
longa,malalta,esperanto
malalta,halo,esperanto
halo,lumigita,esperanto
lumigita,per,esperanto
per,serio,esperanto
serio,de,esperanto
de,lampoj,esperanto
lampoj,kiuj,esperanto
kiuj,pendas,esperanto
pendas,de,esperanto
de,la,esperanto
la,plafono,esperanto
plafono,ĉirkaŭ,esperanto
ĉirkaŭ,la,esperanto
la,halo,esperanto
halo,estis,esperanto
estis,pordoj,esperanto
pordoj,sed,esperanto
sed,ĉiuj,esperanto
ĉiuj,estis,esperanto
estis,fermitaj,esperanto
fermitaj,alicio,esperanto
alicio,do,esperanto
do,marŝis,esperanto
marŝis,laŭ,esperanto
laŭ,unu,esperanto
unu,flanko,esperanto
flanko,kaj,esperanto
kaj,remarŝis,esperanto
remarŝis,laŭ,esperanto
laŭ,la,esperanto
la,alia,esperanto
alia,penante,esperanto
penante,malfermi,esperanto
malfermi,la,esperanto
la,pordojn,esperanto
pordojn,sed,esperanto
sed,ĉiu,esperanto
ĉiu,el,esperanto
el,ili,esperanto
ili,estis,esperanto
estis,ŝlosita,esperanto
ŝlosita,kaj,esperanto
kaj,alicio,esperanto
alicio,malĝoje,esperanto
malĝoje,marŝis,esperanto
marŝis,laŭ,esperanto
laŭ,la,esperanto
la,mezo,esperanto
mezo,kaj,esperanto
kaj,demandis,esperanto
demandis,al,esperanto
al,si,esperanto
si,ĉu,esperanto
ĉu,ŝi,esperanto
ŝi,jam,esperanto
jam,neniam,esperanto
neniam,povos,esperanto
povos,eliri,esperanto
eliri,la,esperanto
la,halon,esperanto
halon,subite,esperanto
subite,ŝi,esperanto
ŝi,rimarkis,esperanto
rimarkis,antaŭ,esperanto
antaŭ,si,esperanto
si,tripiedan,esperanto
tripiedan,tableton,esperanto
tableton,faritan,esperanto
faritan,el,esperanto
el,vitro,esperanto
vitro,kaj,esperanto
kaj,jen,esperanto
jen,kuŝis,esperanto
kuŝis,sur,esperanto
sur,ĝi,esperanto
ĝi,unu,esperanto
unu,ora,esperanto
ora,ŝlosileto,esperanto
ŝlosileto,tuj,esperanto
tuj,la,esperanto
la,ideo,esperanto
ideo,frapis,esperanto
frapis,ŝin,esperanto
ŝin,ke,esperanto
ke,ĝi,esperanto
ĝi,nepre,esperanto
nepre,apartenas,esperanto
apartenas,al,esperanto
al,iu,esperanto
iu,el,esperanto
el,la,esperanto
la,halpordoj,esperanto
halpordoj,sed,esperanto
sed,ho,esperanto
ho,ve,esperanto
ve,aŭ,esperanto
aŭ,la,esperanto
la,seruroj,esperanto
seruroj,estis,esperanto
estis,tro,esperanto
tro,grandaj,esperanto
grandaj,aŭ,esperanto
aŭ,la,esperanto
la,ŝlosileto,esperanto
ŝlosileto,tro,esperanto
tro,eta,esperanto
eta,ĉar,esperanto
ĉar,neniun,esperanto
neniun,el,esperanto
el,ili,esperanto
ili,ĝi,esperanto
ĝi,malfermis,esperanto
malfermis,tamen,esperanto
tamen,ĉirkaŭirante,esperanto
ĉirkaŭirante,la,esperanto
la,duan,esperanto
duan,fojon,esperanto
fojon,ŝi,esperanto
ŝi,venis,esperanto
venis,al,esperanto
al,malalta,esperanto
malalta,kurteno,esperanto
kurteno,kiun,esperanto
kiun,ŝi,esperanto
ŝi,antaŭe,esperanto
antaŭe,ne,esperanto
ne,rimarkis,esperanto
rimarkis,kaj,esperanto
kaj,malantaŭ,esperanto
malantaŭ,la,esperanto
la,kurteno,esperanto
kurteno,jen,esperanto
jen,malgranda,esperanto
malgranda,pordo,esperanto
pordo,alta,esperanto
alta,je,esperanto
je,kvardek,esperanto
kvardek,kelke,esperanto
kelke,da,esperanto
da,centimetroj,esperanto
centimetroj,ŝi,esperanto
ŝi,enŝovis,esperanto
enŝovis,la,esperanto
la,oran,esperanto
oran,ŝlosileton,esperanto
ŝlosileton,kaj,esperanto
kaj,ho,esperanto
ho,la,esperanto
la,ĝojo,esperanto
ĝojo,ĝi,esperanto
ĝi,taŭgis,esperanto
taŭgis,malferminte,esperanto
malferminte,la,esperanto
la,pordeton,esperanto
pordeton,alicio,esperanto
alicio,trovis,esperanto
trovis,ke,esperanto
ke,ĝi,esperanto
ĝi,kondukas,esperanto
kondukas,en,esperanto
en,koridoreton,esperanto
koridoreton,ne,esperanto
ne,multe,esperanto
multe,pli,esperanto
pli,ampleksan,esperanto
ampleksan,ol,esperanto
ol,ordinara,esperanto
ordinara,rattunelo,esperanto
rattunelo,starigante,esperanto
starigante,sin,esperanto
sin,sur,esperanto
sur,la,esperanto
la,genuoj,esperanto
genuoj,ŝi,esperanto
ŝi,direktis,esperanto
direktis,la,esperanto
la,rigardojn—tra,esperanto
rigardojn—tra,la,esperanto
la,koridoreto—en—la,esperanto
koridoreto—en—la,plej,esperanto
plej,belan,esperanto
belan,ĝardenon,esperanto
ĝardenon,kiun,esperanto
kiun,oni,esperanto
oni,povas,esperanto
povas,imagi,esperanto
imagi,ho,esperanto
ho,kiel,esperanto
kiel,ŝi,esperanto
ŝi,sopiris,esperanto
sopiris,eliĝi,esperanto
eliĝi,tiun,esperanto
tiun,malluman,esperanto
malluman,halon,esperanto
halon,kaj,esperanto
kaj,ĉirkaŭvagadi,esperanto
ĉirkaŭvagadi,inter,esperanto
inter,jenaj,esperanto
jenaj,helfloraj,esperanto
helfloraj,bedoj,esperanto
bedoj,kaj,esperanto
kaj,dolĉaj,esperanto
dolĉaj,fontanoj,esperanto
fontanoj,sed,esperanto
sed,tra,esperanto
tra,tiu,esperanto
tiu,pordeto,esperanto
pordeto,ŝi,esperanto
ŝi,ne,esperanto
ne,povus,esperanto
povus,trairigi,esperanto
trairigi,eĉ,esperanto
eĉ,la,esperanto
la,kapon,esperanto
kapon,kaj,esperanto
kaj,eĉ,esperanto
eĉ,se,esperanto
se,la,esperanto
la,kapo,esperanto
kapo,bone,esperanto
bone,trairus,esperanto
trairus,ekpensis,esperanto
ekpensis,nia,esperanto
nia,kompatinda,esperanto
kompatinda,alicio,esperanto
alicio,tre,esperanto
tre,malmulte,esperanto
malmulte,utilus,esperanto
utilus,tio,esperanto
tio,sen,esperanto
sen,la,esperanto
la,ŝultroj,esperanto
ŝultroj,ho,esperanto
ho,se,esperanto
se,mi,esperanto
mi,nur,esperanto
nur,havus,esperanto
havus,la,esperanto
la,kapablon,esperanto
kapablon,teleskopiĝi,esperanto
teleskopiĝi,eble,esperanto
eble,mi,esperanto
mi,povus,esperanto
povus,se,esperanto
se,nur,esperanto
nur,mi,esperanto
mi,scius,esperanto
scius,kiel,esperanto
kiel,oni,esperanto
oni,komencas,esperanto
komencas,la,esperanto
la,klopodon,esperanto
klopodon,ĉar,esperanto
ĉar,tiom,esperanto
tiom,da,esperanto
da,eksterordinaraj,esperanto
eksterordinaraj,aferoj,esperanto
aferoj,jam,esperanto
jam,en,esperanto
en,tiu,esperanto
tiu,tago,esperanto
tago,okazis,esperanto
okazis,ĉe,esperanto
ĉe,ŝi,esperanto
ŝi,alicio,esperanto
alicio,ja,esperanto
ja,komencis,esperanto
komencis,kredi,esperanto
kredi,ke,esperanto
ke,neebla,esperanto
neebla,estas,esperanto
estas,preskaŭ,esperanto
preskaŭ,nenio,esperanto
nenio,kompreneble,esperanto
kompreneble,neniel,esperanto
neniel,utilus,esperanto
utilus,staradi,esperanto
staradi,ĉe,esperanto
ĉe,la,esperanto
la,pordeto,esperanto
pordeto,sekve,esperanto
sekve,ŝi,esperanto
ŝi,reiris,esperanto
reiris,al,esperanto
al,la,esperanto
la,tablo,esperanto
tablo,kun,esperanto
kun,la,esperanto
la,ekespero,esperanto
ekespero,trovi,esperanto
trovi,sur,esperanto
sur,ĝi,esperanto
ĝi,alian,esperanto
alian,ŝlosilon,esperanto
ŝlosilon,aŭ,esperanto
aŭ,eble,esperanto
eble,libreton,esperanto
libreton,pri,esperanto
pri,la,esperanto
la,arto,esperanto
arto,teleskopiĝi,esperanto
teleskopiĝi,ĉi,esperanto
ĉi,tiun,esperanto
tiun,fojon,esperanto
fojon,ŝi,esperanto
ŝi,trovis,esperanto
trovis,sur,esperanto
sur,ĝi,esperanto
ĝi,boteleton,esperanto
boteleton,kiu,esperanto
kiu,certege,esperanto
certege,ne,esperanto
ne,kuŝis,esperanto
kuŝis,tie,esperanto
tie,antaŭe,esperanto
antaŭe,diris,esperanto
diris,alicio,esperanto
alicio,kun,esperanto
kun,surskribaĵo,esperanto
surskribaĵo,ligita,esperanto
ligita,ĉirkaŭ,esperanto
ĉirkaŭ,la,esperanto
la,kolo,esperanto
kolo,havanta,esperanto
havanta,la,esperanto
la,vortojn,esperanto
vortojn,trinku,esperanto
trinku,min,esperanto
min,per,esperanto
per,belegaj,esperanto
belegaj,grandaj,esperanto
grandaj,literoj,esperanto
literoj,surskribitajn,esperanto
surskribitajn,tre,esperanto
tre,facile,esperanto
facile,estas,esperanto
estas,diri,esperanto
diri,trinku,esperanto
trinku,min,esperanto
min,pensis,esperanto
pensis,la,esperanto
la,saĝulineto,esperanto
saĝulineto,sed,esperanto
sed,mi,esperanto
mi,ne,esperanto
ne,faros,esperanto
faros,tion,esperanto
tion,krom,esperanto
krom,post,esperanto
post,plena,esperanto
plena,esploro,esperanto
esploro,mi,esperanto
mi,unue,esperanto
unue,rigardu,esperanto
rigardu,por,esperanto
por,vidi,esperanto
vidi,ĉu,esperanto
ĉu,oni,esperanto
oni,surskribis,esperanto
surskribis,ĝin,esperanto
ĝin,per,esperanto
per,veneno,esperanto
veneno,ĉar,esperanto
ĉar,ŝi,esperanto
ŝi,ja,esperanto
ja,antaŭe,esperanto
antaŭe,legis,esperanto
legis,kelke,esperanto
kelke,da,esperanto
da,bonmoralaj,esperanto
bonmoralaj,rakontoj,esperanto
rakontoj,pri,esperanto
pri,infanoj,esperanto
infanoj,kiuj,esperanto
kiuj,aŭ,esperanto
aŭ,mortbruliĝis,esperanto
mortbruliĝis,aŭ,esperanto
aŭ,estis,esperanto
estis,englutitaj,esperanto
englutitaj,de,esperanto
de,sovaĝaj,esperanto
sovaĝaj,bestoj,esperanto
bestoj,aŭ,esperanto
aŭ,suferis,esperanto
suferis,diversajn,esperanto
diversajn,aliajn,esperanto
aliajn,malagrablaĵojn,esperanto
malagrablaĵojn,nur,esperanto
nur,simple,esperanto
simple,pro,esperanto
pro,tio,esperanto
tio,ke,esperanto
ke,ili,esperanto
ili,ne,esperanto
ne,volis,esperanto
volis,atenti,esperanto
